FID,ZONE,ROW_,WEST_VALUE,CM_VALUE,EAST_VALUE
168,10,W,126W,123W,120W
169,26,N, 30W, 27W, 24W
170,17,V, 84W, 81W, 78W
171,11,W,120W,117W,114W
172,27,N, 24W, 21W, 18W
173,12,W,114W,111W,108W
174,18,V, 78W, 75W, 72W
175,28,N, 18W, 15W, 12W
176,13,W,108W,105W,102W
177,19,V, 72W, 69W, 66W
178,29,N, 12W,  9W,  6W
179,14,W,102W, 99W, 96W
180,20,V, 66W, 63W, 60W
181,30,N,  6W,  3W,0E/W
182,15,W, 96W, 93W, 90W
183,21,V, 60W, 57W, 54W
184,31,N,0E/W,  3E,  6E
185,22,V, 54W, 51W, 48W
186,32,N,  6E,  9E, 12E
187,16,W, 90W, 87W, 84W
188,23,V, 48W, 45W, 42W
189,33,N, 12E, 15E, 18E
190,24,V, 42W, 39W, 36W
191,34,N, 18E, 21E, 24E
192,17,W, 84W, 81W, 78W
193,25,V, 36W, 33W, 30W
194,35,N, 24E, 27E, 30E
195,26,V, 30W, 27W, 24W
196,18,W, 78W, 75W, 72W
197,27,V, 24W, 21W, 18W
198,36,N, 30E, 33E, 36E
199,19,W, 72W, 69W, 66W
200,28,V, 18W, 15W, 12W
201,37,N, 36E, 39E, 42E
202,20,W, 66W, 63W, 60W
203,29,V, 12W,  9W,  6W
204,38,N, 42E, 45E, 48E
205,21,W, 60W, 57W, 54W
206,30,V,  6W,  3W,0E/W
207,39,N, 48E, 51E, 54E
208,22,W, 54W, 51W, 48W
209,31,V,0E/W,1.5E,3E
210,23,W, 48W, 45W, 42W
211,40,N, 54E, 57E, 60E
212,32,V,3E,7.5E, 12E
213,41,N, 60E, 63E, 66E
214,24,W, 42W, 39W, 36W
215,33,V, 12E, 15E, 18E
216,25,W, 36W, 33W, 30W
217,42,N, 66E, 69E, 72E
218,34,V, 18E, 21E, 24E
219,43,N, 72E, 75E, 78E
220,26,W, 30W, 27W, 24W
221,35,V, 24E, 27E, 30E
222,44,N, 78E, 81E, 84E
223,27,W, 24W, 21W, 18W
224,36,V, 30E, 33E, 36E
225,28,W, 18W, 15W, 12W
226,37,V, 36E, 39E, 42E
227,45,N, 84E, 87E, 90E
228,38,V, 42E, 45E, 48E
229,46,N, 90E, 93E, 96E
230,29,W, 12W,  9W,  6W
231,39,V, 48E, 51E, 54E
232,47,N, 96E, 99E,102E
233,30,W,  6W,  3W,0E/W
234,40,V, 54E, 57E, 60E
235,48,N,102E,105E,108E
236,31,W,0E/W,  3E,  6E
237,41,V, 60E, 63E, 66E
238,49,N,108E,111E,114E
239,32,W,  6E,  9E, 12E
240,42,V, 66E, 69E, 72E
241,50,N,114E,117E,120E
242,43,V, 72E, 75E, 78E
243,33,W, 12E, 15E, 18E
244,44,V, 78E, 81E, 84E
245,51,N,120E,123E,126E
246,34,W, 18E, 21E, 24E
247,45,V, 84E, 87E, 90E
248,52,N,126E,129E,132E
249,35,W, 24E, 27E, 30E
250,46,V, 90E, 93E, 96E
251,53,N,132E,135E,138E
252,47,V, 96E, 99E,102E
253,36,W, 30E, 33E, 36E
254,48,V,102E,105E,108E
255,54,N,138E,141E,144E
256,37,W, 36E, 39E, 42E
257,49,V,108E,111E,114E
258,55,N,144E,147E,150E
259,38,W, 42E, 45E, 48E
260,50,V,114E,117E,120E
261,51,V,120E,123E,126E
262,56,N,150E,153E,156E
263,39,W, 48E, 51E, 54E
264,52,V,126E,129E,132E
265,57,N,156E,159E,162E
266,40,W, 54E, 57E, 60E
267,53,V,132E,135E,138E
268,54,V,138E,141E,144E
269,58,N,162E,165E,168E
270,41,W, 60E, 63E, 66E
271,2,M,174W,171W,168W
272,59,N,168E,171E,174E
273,3,M,168W,165W,162W
274,55,V,144E,147E,150E
275,60,N,174E,177E,180E
276,4,M,162W,159W,156W
277,56,V,150E,153E,156E
278,22,U, 54W, 51W, 48W
279,1,M,180W,177W,174W
280,5,M,156W,153W,150W
281,57,V,156E,159E,162E
282,23,U, 48W, 45W, 42W
283,58,V,162E,165E,168E
284,42,L, 66E, 69E, 72E
285,24,U, 42W, 39W, 36W
286,59,V,168E,171E,174E
287,43,L, 72E, 75E, 78E
288,60,V,174E,177E,180E
289,25,U, 36W, 33W, 30W
290,44,L, 78E, 81E, 84E
291,6,M,150W,147W,144W
292,1,U,180W,177W,174W
293,26,U, 30W, 27W, 24W
294,45,L, 84E, 87E, 90E
295,7,M,144W,141W,138W
296,2,U,174W,171W,168W
297,46,L, 90E, 93E, 96E
298,27,U, 24W, 21W, 18W
299,8,M,138W,135W,132W
300,3,U,168W,165W,162W
301,9,M,132W,129W,126W
302,47,L, 96E, 99E,102E
303,28,U, 18W, 15W, 12W
304,4,U,162W,159W,156W
305,10,M,126W,123W,120W
306,5,U,156W,153W,150W
307,48,L,102E,105E,108E
308,29,U, 12W,  9W,  6W
309,11,M,120W,117W,114W
310,6,U,150W,147W,144W
311,49,L,108E,111E,114E
312,30,U,  6W,  3W,0E/W
313,12,M,114W,111W,108W
314,7,U,144W,141W,138W
315,50,L,114E,117E,120E
316,13,M,108W,105W,102W
317,31,U,0E/W,  3E,  6E
318,8,U,138W,135W,132W
319,14,M,102W, 99W, 96W
320,32,U,  6E,  9E, 12E
321,9,U,132W,129W,126W
322,51,L,120E,123E,126E
323,15,M, 96W, 93W, 90W
324,10,U,126W,123W,120W
325,33,U, 12E, 15E, 18E
326,52,L,126E,129E,132E
327,16,M, 90W, 87W, 84W
328,11,U,120W,117W,114W
329,34,U, 18E, 21E, 24E
330,53,L,132E,135E,138E
331,17,M, 84W, 81W, 78W
332,12,U,114W,111W,108W
333,35,U, 24E, 27E, 30E
334,54,L,138E,141E,144E
335,13,U,108W,105W,102W
336,36,U, 30E, 33E, 36E
337,55,L,144E,147E,150E
338,18,M, 78W, 75W, 72W
339,37,U, 36E, 39E, 42E
340,56,L,150E,153E,156E
341,14,U,102W, 99W, 96W
342,19,M, 72W, 69W, 66W
343,57,L,156E,159E,162E
344,38,U, 42E, 45E, 48E
345,39,U, 48E, 51E, 54E
346,20,M, 66W, 63W, 60W
347,15,U, 96W, 93W, 90W
348,58,L,162E,165E,168E
349,40,U, 54E, 57E, 60E
350,59,L,168E,171E,174E
351,16,U, 90W, 87W, 84W
352,21,M, 60W, 57W, 54W
353,60,L,174E,177E,180E
354,22,M, 54W, 51W, 48W
355,41,U, 60E, 63E, 66E
356,17,U, 84W, 81W, 78W
357,42,U, 66E, 69E, 72E
358,1,K,180W,177W,174W
359,18,U, 78W, 75W, 72W
360,23,M, 48W, 45W, 42W
361,43,U, 72E, 75E, 78E
362,2,K,174W,171W,168W
363,24,M, 42W, 39W, 36W
364,19,U, 72W, 69W, 66W
365,44,U, 78E, 81E, 84E
366,3,K,168W,165W,162W
367,4,K,162W,159W,156W
368,45,U, 84E, 87E, 90E
369,20,U, 66W, 63W, 60W
370,25,M, 36W, 33W, 30W
371,46,U, 90E, 93E, 96E
372,5,K,156W,153W,150W
373,26,M, 30W, 27W, 24W
374,21,U, 60W, 57W, 54W
375,27,M, 24W, 21W, 18W
376,47,U, 96E, 99E,102E
377,6,K,150W,147W,144W
378,42,R, 66E, 69E, 72E
379,48,U,102E,105E,108E
380,7,K,144W,141W,138W
381,43,R, 72E, 75E, 78E
382,28,M, 18W, 15W, 12W
383,44,R, 78E, 81E, 84E
384,49,U,108E,111E,114E
385,8,K,138W,135W,132W
