FID,ZONE,ROW_,WEST_VALUE,CM_VALUE,EAST_VALUE
823,22,S, 54W, 51W, 48W
824,15,F, 96W, 93W, 90W
825,23,S, 48W, 45W, 42W
826,16,F, 90W, 87W, 84W
827,24,S, 42W, 39W, 36W
828,17,F, 84W, 81W, 78W
829,25,S, 36W, 33W, 30W
830,18,F, 78W, 75W, 72W
831,26,S, 30W, 27W, 24W
832,19,F, 72W, 69W, 66W
833,27,S, 24W, 21W, 18W
834,20,F, 66W, 63W, 60W
835,51,J,120E,123E,126E
836,28,S, 18W, 15W, 12W
837,21,F, 60W, 57W, 54W
838,22,F, 54W, 51W, 48W
839,23,F, 48W, 45W, 42W
840,24,F, 42W, 39W, 36W
841,29,S, 12W,  9W,  6W
842,25,F, 36W, 33W, 30W
843,30,S,  6W,  3W,0E/W
844,26,F, 30W, 27W, 24W
845,31,S,0E/W,  3E,  6E
846,32,S,  6E,  9E, 12E
847,27,F, 24W, 21W, 18W
848,33,S, 12E, 15E, 18E
849,28,F, 18W, 15W, 12W
850,52,J,126E,129E,132E
851,34,S, 18E, 21E, 24E
852,29,F, 12W,  9W,  6W
853,53,J,132E,135E,138E
854,35,S, 24E, 27E, 30E
855,30,F,  6W,  3W,0E/W
856,54,J,138E,141E,144E
857,31,F,0E/W,  3E,  6E
858,36,S, 30E, 33E, 36E
859,32,F,  6E,  9E, 12E
860,33,F, 12E, 15E, 18E
861,34,F, 18E, 21E, 24E
862,37,S, 36E, 39E, 42E
863,35,F, 24E, 27E, 30E
864,38,S, 42E, 45E, 48E
865,39,S, 48E, 51E, 54E
866,36,F, 30E, 33E, 36E
867,40,S, 54E, 57E, 60E
868,37,F, 36E, 39E, 42E
869,41,S, 60E, 63E, 66E
870,38,F, 42E, 45E, 48E
871,55,J,144E,147E,150E
872,42,S, 66E, 69E, 72E
873,39,F, 48E, 51E, 54E
874,56,J,150E,153E,156E
875,43,S, 72E, 75E, 78E
876,40,F, 54E, 57E, 60E
877,57,J,156E,159E,162E
878,44,S, 78E, 81E, 84E
879,41,F, 60E, 63E, 66E
880,45,S, 84E, 87E, 90E
881,58,J,162E,165E,168E
882,46,S, 90E, 93E, 96E
883,59,J,168E,171E,174E
884,47,S, 96E, 99E,102E
885,60,J,174E,177E,180E
886,48,S,102E,105E,108E
887,49,S,108E,111E,114E
888,1,H,180W,177W,174W
889,50,S,114E,117E,120E
890,2,H,174W,171W,168W
891,51,S,120E,123E,126E
892,3,H,168W,165W,162W
893,52,S,126E,129E,132E
894,4,H,162W,159W,156W
895,53,S,132E,135E,138E
896,5,H,156W,153W,150W
897,54,S,138E,141E,144E
898,55,S,144E,147E,150E
899,6,H,150W,147W,144W
900,56,S,150E,153E,156E
901,57,S,156E,159E,162E
902,7,H,144W,141W,138W
903,58,S,162E,165E,168E
904,8,H,138W,135W,132W
905,59,S,168E,171E,174E
906,9,H,132W,129W,126W
907,60,S,174E,177E,180E
908,10,H,126W,123W,120W
909,1,R,180W,177W,174W
910,11,H,120W,117W,114W
911,2,R,174W,171W,168W
912,12,H,114W,111W,108W
913,3,R,168W,165W,162W
914,13,H,108W,105W,102W
915,4,R,162W,159W,156W
916,14,H,102W, 99W, 96W
917,5,R,156W,153W,150W
918,15,H, 96W, 93W, 90W
919,6,R,150W,147W,144W
920,16,H, 90W, 87W, 84W
921,17,H, 84W, 81W, 78W
922,7,R,144W,141W,138W
923,18,H, 78W, 75W, 72W
924,8,R,138W,135W,132W
925,19,H, 72W, 69W, 66W
926,9,R,132W,129W,126W
927,20,H, 66W, 63W, 60W
928,10,R,126W,123W,120W
929,21,H, 60W, 57W, 54W
930,22,H, 54W, 51W, 48W
931,11,R,120W,117W,114W
932,23,H, 48W, 45W, 42W
933,12,R,114W,111W,108W
934,24,H, 42W, 39W, 36W
935,13,R,108W,105W,102W
936,14,R,102W, 99W, 96W
937,25,H, 36W, 33W, 30W
938,26,H, 30W, 27W, 24W
939,15,R, 96W, 93W, 90W
940,27,H, 24W, 21W, 18W
941,16,R, 90W, 87W, 84W
942,28,H, 18W, 15W, 12W
943,17,R, 84W, 81W, 78W
944,18,R, 78W, 75W, 72W
945,29,H, 12W,  9W,  6W
946,19,R, 72W, 69W, 66W
947,30,H,  6W,  3W,0E/W
948,31,H,0E/W,  3E,  6E
949,20,R, 66W, 63W, 60W
950,32,H,  6E,  9E, 12E
951,21,R, 60W, 57W, 54W
952,22,R, 54W, 51W, 48W
953,23,R, 48W, 45W, 42W
954,33,H, 12E, 15E, 18E
955,34,H, 18E, 21E, 24E
956,24,R, 42W, 39W, 36W
957,35,H, 24E, 27E, 30E
958,25,R, 36W, 33W, 30W
959,36,H, 30E, 33E, 36E
960,37,H, 36E, 39E, 42E
961,26,R, 30W, 27W, 24W
962,38,H, 42E, 45E, 48E
963,27,R, 24W, 21W, 18W
964,39,H, 48E, 51E, 54E
965,28,R, 18W, 15W, 12W
966,40,H, 54E, 57E, 60E
967,29,R, 12W,  9W,  6W
968,41,H, 60E, 63E, 66E
969,30,R,  6W,  3W,0E/W
970,42,H, 66E, 69E, 72E
971,31,R,0E/W,  3E,  6E
972,43,H, 72E, 75E, 78E
973,32,R,  6E,  9E, 12E
974,44,H, 78E, 81E, 84E
975,33,R, 12E, 15E, 18E
976,45,H, 84E, 87E, 90E
977,34,R, 18E, 21E, 24E
978,46,H, 90E, 93E, 96E
979,47,H, 96E, 99E,102E
980,35,R, 24E, 27E, 30E
981,48,H,102E,105E,108E
982,49,H,108E,111E,114E
983,50,H,114E,117E,120E
984,36,R, 30E, 33E, 36E
985,51,H,120E,123E,126E
986,37,R, 36E, 39E, 42E
987,38,R, 42E, 45E, 48E
988,52,H,126E,129E,132E
989,53,H,132E,135E,138E
990,39,R, 48E, 51E, 54E
991,54,H,138E,141E,144E
992,40,R, 54E, 57E, 60E
993,55,H,144E,147E,150E
994,56,H,150E,153E,156E
995,41,R, 60E, 63E, 66E
996,57,H,156E,159E,162E
997,58,H,162E,165E,168E
998,59,H,168E,171E,174E
999,60,H,174E,177E,180E
1000,1,G,180W,177W,174W
1001,42,F, 66E, 69E, 72E
1002,23,D, 48W, 45W, 42W
1003,43,F, 72E, 75E, 78E
1004,44,F, 78E, 81E, 84E
1005,24,D, 42W, 39W, 36W
1006,45,F, 84E, 87E, 90E
1007,46,F, 90E, 93E, 96E
1008,25,D, 36W, 33W, 30W
1009,47,F, 96E, 99E,102E
1010,26,D, 30W, 27W, 24W
1011,48,F,102E,105E,108E
1012,27,D, 24W, 21W, 18W
1013,49,F,108E,111E,114E
1014,28,D, 18W, 15W, 12W
1015,50,F,114E,117E,120E
1016,51,F,120E,123E,126E
1017,29,D, 12W,  9W,  6W
1018,52,F,126E,129E,132E
1019,53,F,132E,135E,138E
1020,30,D,  6W,  3W,0E/W
1021,54,F,138E,141E,144E
1022,31,D,0E/W,  3E,  6E
1023,55,F,144E,147E,150E
1024,32,D,  6E,  9E, 12E
1025,56,F,150E,153E,156E
1026,33,D, 12E, 15E, 18E
1027,57,F,156E,159E,162E
1028,34,D, 18E, 21E, 24E
1029,58,F,162E,165E,168E
1030,59,F,168E,171E,174E
1031,60,F,174E,177E,180E
1032,35,D, 24E, 27E, 30E
1033,1,E,180W,177W,174W
1034,36,D, 30E, 33E, 36E
1035,2,E,174W,171W,168W
1036,37,D, 36E, 39E, 42E
1037,3,E,168W,165W,162W
1038,38,D, 42E, 45E, 48E
1039,4,E,162W,159W,156W
1040,39,D, 48E, 51E, 54E
1041,5,E,156W,153W,150W
1042,6,E,150W,147W,144W
1043,7,E,144W,141W,138W
1044,40,D, 54E, 57E, 60E
1045,8,E,138W,135W,132W
1046,9,E,132W,129W,126W
1047,10,E,126W,123W,120W
1048,41,D, 60E, 63E, 66E
1049,11,E,120W,117W,114W
1050,12,E,114W,111W,108W
1051,42,D, 66E, 69E, 72E
1052,13,E,108W,105W,102W
1053,14,E,102W, 99W, 96W
1054,43,D, 72E, 75E, 78E
1055,15,E, 96W, 93W, 90W
1056,44,D, 78E, 81E, 84E
1057,16,E, 90W, 87W, 84W
1058,17,E, 84W, 81W, 78W
1059,45,D, 84E, 87E, 90E
1060,46,D, 90E, 93E, 96E
1061,47,D, 96E, 99E,102E
1062,18,E, 78W, 75W, 72W
1063,48,D,102E,105E,108E
1064,19,E, 72W, 69W, 66W
1065,20,E, 66W, 63W, 60W
1066,49,D,108E,111E,114E
1067,50,D,114E,117E,120E
1068,21,E, 60W, 57W, 54W
1069,51,D,120E,123E,126E
1070,52,D,126E,129E,132E
1071,22,E, 54W, 51W, 48W
1072,53,D,132E,135E,138E
1073,23,E, 48W, 45W, 42W
1074,54,D,138E,141E,144E
1075,24,E, 42W, 39W, 36W
1076,55,D,144E,147E,150E
1077,25,E, 36W, 33W, 30W
1078,56,D,150E,153E,156E
1079,57,D,156E,159E,162E
1080,26,E, 30W, 27W, 24W
1081,58,D,162E,165E,168E
1082,59,D,168E,171E,174E
1083,27,E, 24W, 21W, 18W
1084,60,D,174E,177E,180E
1085,28,E, 18W, 15W, 12W
1086,1,C,180W,177W,174W
1087,29,E, 12W,  9W,  6W
1088,2,C,174W,171W,168W
1089,30,E,  6W,  3W,0E/W
1090,3,C,168W,165W,162W
1091,31,E,0E/W,  3E,  6E
1092,4,C,162W,159W,156W
1093,5,C,156W,153W,150W
1094,32,E,  6E,  9E, 12E
1095,6,C,150W,147W,144W
1096,33,E, 12E, 15E, 18E
1097,7,C,144W,141W,138W
1098,34,E, 18E, 21E, 24E
1099,8,C,138W,135W,132W
1100,35,E, 24E, 27E, 30E
1101,9,C,132W,129W,126W
1102,36,E, 30E, 33E, 36E
1103,10,C,126W,123W,120W
1104,37,E, 36E, 39E, 42E
1105,11,C,120W,117W,114W
1106,12,C,114W,111W,108W
1107,38,E, 42E, 45E, 48E
1108,13,C,108W,105W,102W
1109,14,C,102W, 99W, 96W
1110,39,E, 48E, 51E, 54E
1111,15,C, 96W, 93W, 90W
1112,40,E, 54E, 57E, 60E
1113,16,C, 90W, 87W, 84W
1114,41,E, 60E, 63E, 66E
1115,17,C, 84W, 81W, 78W
1116,42,E, 66E, 69E, 72E
1117,18,C, 78W, 75W, 72W
1118,19,C, 72W, 69W, 66W
1119,20,C, 66W, 63W, 60W
1120,43,E, 72E, 75E, 78E
1121,21,C, 60W, 57W, 54W
1122,22,C, 54W, 51W, 48W
1123,44,E, 78E, 81E, 84E
1124,23,C, 48W, 45W, 42W
1125,45,E, 84E, 87E, 90E
1126,24,C, 42W, 39W, 36W
1127,46,E, 90E, 93E, 96E
1128,25,C, 36W, 33W, 30W
1129,47,E, 96E, 99E,102E
1130,26,C, 30W, 27W, 24W
1131,48,E,102E,105E,108E
1132,27,C, 24W, 21W, 18W
1133,49,E,108E,111E,114E
1134,50,E,114E,117E,120E
1135,28,C, 18W, 15W, 12W
1136,51,E,120E,123E,126E
1137,29,C, 12W,  9W,  6W
1138,30,C,  6W,  3W,0E/W
1139,31,C,0E/W,  3E,  6E
1140,52,E,126E,129E,132E
1141,32,C,  6E,  9E, 12E
1142,53,E,132E,135E,138E
1143,33,C, 12E, 15E, 18E
1144,54,E,138E,141E,144E
1145,34,C, 18E, 21E, 24E
1146,55,E,144E,147E,150E
1147,35,C, 24E, 27E, 30E
1148,36,C, 30E, 33E, 36E
1149,56,E,150E,153E,156E
1150,57,E,156E,159E,162E
1151,58,E,162E,165E,168E
1152,37,C, 36E, 39E, 42E
1153,59,E,168E,171E,174E
1154,38,C, 42E, 45E, 48E
1155,39,C, 48E, 51E, 54E
1156,40,C, 54E, 57E, 60E
1157,60,E,174E,177E,180E
1158,41,C, 60E, 63E, 66E
1159,1,D,180W,177W,174W
1160,42,C, 66E, 69E, 72E
1161,2,D,174W,171W,168W
1162,43,C, 72E, 75E, 78E
1163,3,D,168W,165W,162W
1164,44,C, 78E, 81E, 84E
1165,4,D,162W,159W,156W
1166,45,C, 84E, 87E, 90E
1167,5,D,156W,153W,150W
1168,46,C, 90E, 93E, 96E
1169,6,D,150W,147W,144W
1170,47,C, 96E, 99E,102E
1171,7,D,144W,141W,138W
1172,48,C,102E,105E,108E
1173,49,C,108E,111E,114E
1174,50,C,114E,117E,120E
1175,8,D,138W,135W,132W
1176,51,C,120E,123E,126E
1177,52,C,126E,129E,132E
1178,9,D,132W,129W,126W
1179,10,D,126W,123W,120W
1180,53,C,132E,135E,138E
1181,11,D,120W,117W,114W
1182,54,C,138E,141E,144E
1183,55,C,144E,147E,150E
1184,12,D,114W,111W,108W
1185,56,C,150E,153E,156E
1186,13,D,108W,105W,102W
1187,14,D,102W, 99W, 96W
1188,57,C,156E,159E,162E
1189,58,C,162E,165E,168E
1190,15,D, 96W, 93W, 90W
1191,16,D, 90W, 87W, 84W
1192,59,C,168E,171E,174E
1193,60,C,174E,177E,180E
1194,17,D, 84W, 81W, 78W
1195,18,D, 78W, 75W, 72W
1196,0,A,NoZN,NoZN,NoZN
1197,19,D, 72W, 69W, 66W
1198,0,B,NoZN,NoZN,NoZN
1199,20,D, 66W, 63W, 60W
1200,21,D, 60W, 57W, 54W
1201,22,D, 54W, 51W, 48W
